,title,commentCount,dislikeCount,likeCount,music_style,performer,viewCount,commentators_uniq,date
13845,"Нюша - Звёздный допрос, 02.07.16",56.0,15.0,519.0,popsa,нюша,30208.0,34.0,2016-07-03
13846,Нюша - Интервью в Минске (2012),5.0,5.0,68.0,popsa,нюша,11508.0,5.0,2012-02-14
13847,"Нюша - Кулинарный поединок, 14.11.15",57.0,30.0,760.0,popsa,нюша,72041.0,40.0,2015-11-15
13848,"Нюша - Наедине со всеми, 25.03.15",268.0,454.0,3592.0,popsa,нюша,887655.0,175.0,2015-03-27
13849,Нюша - Не перебивай ( Песня 2010 - Киев),52.0,48.0,545.0,popsa,нюша,276873.0,41.0,2011-02-03
13850,Нюша - Не перебивай (BIG LOVE SHOW ) 2011,10.0,8.0,120.0,popsa,нюша,30846.0,9.0,2011-02-25
13851,"Нюша - Онлайн шоу ""Ок на связи"", 23.06.16",158.0,48.0,1188.0,popsa,нюша,75441.0,102.0,2016-06-24
13852,"Нюша - Остров, О чем поют мужчины, 08.03.16",351.0,304.0,5043.0,popsa,нюша,891110.0,172.0,2016-03-09
13853,"Нюша - Партийная зона, Муз-тв, 05.10.14",62.0,41.0,630.0,popsa,нюша,133959.0,48.0,2014-10-06
13854,"Нюша - Партийная зона, Муз-тв, 13.12.15",29.0,20.0,404.0,popsa,нюша,51494.0,22.0,2015-12-14
13855,"Нюша - Пик популярности, 27.01.16",63.0,50.0,972.0,popsa,нюша,100333.0,45.0,2016-01-28
13856,Нюша - Презентация Альбома (Ru-Tv),1.0,3.0,18.0,popsa,нюша,4000.0,,2011-01-19
13857,Нюша - Стол заказов RU.TV (08.02.2012),1.0,11.0,79.0,popsa,нюша,30903.0,,2012-02-09
13858,"Нюша - Съёмки клипа Где ты, там я",294.0,243.0,5341.0,popsa,нюша,628966.0,216.0,2015-08-07
13859,"Нюша - Только, OOPS! Choice Awards, 21.10.14",47.0,30.0,572.0,popsa,нюша,82764.0,31.0,2014-10-23
13860,"Нюша - Целуй, Концерт к 80-летию Госавтоинспекции, 09.07.16",50.0,47.0,715.0,popsa,нюша,90869.0,38.0,2016-07-10
13861,"Нюша - Цунами, Лучшие песни - 2015, 31.12.15",32.0,36.0,648.0,popsa,нюша,65764.0,25.0,2016-01-08
13862,"Нюша - Цунами, Песня года - 2015, 02.01.16",40.0,22.0,487.0,popsa,нюша,44288.0,29.0,2016-01-08
13863,Нюша - Чудо (Снегодяи Уральские Пельмени 2012),181.0,85.0,1989.0,popsa,нюша,394935.0,96.0,2012-01-04
13864,"Нюша - Шоу в Вегасе, 12.04.15",62.0,62.0,885.0,popsa,нюша,135938.0,47.0,2015-04-13
13865,Нюша - новый сайт. (2015) (http://nyusha.ru/),30.0,74.0,834.0,popsa,нюша,77708.0,22.0,2015-07-02
13866,Нюша - оборотень (MTV),7.0,11.0,127.0,popsa,нюша,52294.0,7.0,2010-04-13
13867,Нюша . Ответы на вопросы читателей BRAVO,8.0,7.0,79.0,popsa,нюша,12268.0,7.0,2012-02-09
13868,"Нюша / NYUSHA 2 ноября, Crocus City Hall. Новое шоу – 9 жизней.",12.0,7.0,245.0,popsa,нюша,14407.0,10.0,2016-09-28
13869,Нюша / Nyusha - Больно (Красная Звезда),,63.0,182.0,popsa,нюша,80283.0,,2011-12-02
13870,Нюша / Nyusha - Выбирать чудо (Выпускной бал в Кремле 2011),38.0,23.0,312.0,popsa,нюша,112584.0,32.0,2011-07-02
13871,Нюша / Nyusha - Выше (Европа плюс LIVE 2011),48.0,46.0,595.0,popsa,нюша,323515.0,42.0,2011-08-03
13872,Нюша / Nyusha - Европа плюс LIVE 2009 ( Why ),13.0,12.0,151.0,popsa,нюша,41365.0,,2009-08-22
13873,Нюша / Nyusha - Европа плюс LIVE 2009 ( Ангел ),12.0,7.0,223.0,popsa,нюша,52728.0,11.0,2009-08-23
